DFA_channel1,Fisher_Information_channel1,HFD_channel1,PFD_channel1,SVD_Entropy_channel1,variance_channel1,std_deviation_channel1,mean_channel1,fft_variance_channel1,fft_std_deviation_channel1,fft2_variance_channel1,zero_crossing_rate_channel1,complexity_channel1,DFA_channel2,Fisher_Information_channel2,HFD_channel2,PFD_channel2,SVD_Entropy_channel2,variance_channel2,std_deviation_channel2,mean_channel2,fft_variance_channel2,fft_std_deviation_channel2,fft2_variance_channel2,zero_crossing_rate_channel2,complexity_channel2
0.13634069737636717,0.3346354166666667,0.13634069737636717,-0.0,0.0,0.016080949232488203,0.1268106826434122,0.45853453323479576,289.66780836970406,17.019630089097237,289.66780836970406,2,0.15691744720216091,0.0514394163723255,0.3346354166666667,0.0514394163723255,-0.0,0.0,0.023937088888963298,0.15471615587573037,0.5998929555916501,491.12026182479116,22.16123331010238,491.12026182479116,2,0.07775115731771523
0.20773506264876845,0.3346354166666667,0.20773506264876845,-0.0,0.0,0.03046561424694561,0.17454401807837933,0.5764120572888713,464.5320602286224,21.553005828158224,464.5320602286224,2,0.23621124069349014,0.1785986512415074,0.3346354166666667,0.1785986512415074,-0.0,0.0,0.030498526175283387,0.1746382723668652,0.528675144339286,396.91753491675803,19.92278933575211,396.91753491675803,2,0.21748085046192722
0.22099793644648838,0.3346354166666667,0.22099793644648838,-0.0,0.0,0.03110563005571013,0.17636788272162857,0.511927913255767,375.5063000411756,19.37798493242204,375.5063000411756,2,0.2511274544669693,0.16781998764992107,0.3346354166666667,0.16781998764992107,-0.0,0.0,0.024755723625645026,0.1573395170503743,0.5680720310565439,444.98639665393273,21.094700677040496,444.98639665393273,2,0.2002858602060525
0.20639699030158098,0.3346354166666667,0.20639699030158098,-0.0,0.0,0.029226081827705627,0.17095637404819286,0.5562883450420283,433.8009906482677,20.82788973103775,433.8009906482677,2,0.23854674494103406,0.13086368334008852,0.3346354166666667,0.13086368334008852,-0.0,0.0,0.020064872650751492,0.14165053000519093,0.42402366934203195,255.98124585706216,15.999413922299222,255.98124585706216,2,0.15758593818870884
0.21458905274505788,0.3346354166666667,0.21458905274505788,-0.0,0.0,0.03117328590580797,0.17655958174454303,0.5101710676178806,373.23924517234366,19.319400745684213,373.23924517234366,2,0.24868082235496405,0.15200161772818638,0.3346354166666667,0.15200161772818638,-0.0,0.0,0.022611252032963877,0.15037038283173942,0.43861829141216924,275.39969844862964,16.59517093761404,275.39969844862964,2,0.1849340758156321
0.22454017389000658,0.3346354166666667,0.22454017389000658,-0.0,0.0,0.03261598185898012,0.18059895309491725,0.5064432688716234,370.16451334934624,19.23965990732025,370.16451334934624,2,0.2587721816534137,0.1668265436625933,0.3346354166666667,0.1668265436625933,-0.0,0.0,0.027307109189083797,0.16524862840303334,0.5509054475503973,423.69739256642356,20.583911012400524,423.69739256642356,2,0.20042715875906797
0.25388793337195503,0.3346354166666667,0.25388793337195503,-0.0,0.0,0.04051534537616514,0.20128424025781338,0.5001926407694876,372.3675384724504,19.296827160765325,372.3675384724504,2,0.2904932749188589,0.17902782411207005,0.3346354166666667,0.17902782411207005,-0.0,0.0,0.028896799281071937,0.16999058586013502,0.5292652881192488,395.82060213569525,19.895240690569572,395.82060213569525,2,0.21349127485269553
0.24939118358527707,0.3346354166666667,0.24939118358527707,-0.0,0.0,0.03879081780237549,0.19695384688392226,0.5122468859501071,385.80950951291845,19.642034250884464,385.80950951291845,2,0.2847779452701462,0.1810555452748382,0.3346354166666667,0.1810555452748382,-0.0,0.0,0.027505928250695262,0.1658491129029494,0.5344660203244542,400.91410085967226,20.022839480445132,400.91410085967226,2,0.21591433250638575
0.09812088463774973,0.3346354166666667,0.09812088463774973,-0.0,0.0,0.008660109234764618,0.09305970790178002,0.3982134169994257,214.1612179045517,14.634248115449994,214.1612179045517,2,0.11214828244074751,0.0875144779822407,0.3346354166666667,0.0875144779822407,-0.0,0.0,0.011658803127049724,0.10797593772248391,0.6250691062640011,515.0608601551608,22.694952305637496,515.0608601551608,2,0.10698800213360962
0.1288354560452512,0.3346354166666667,0.1288354560452512,-0.0,0.0,0.012127306735317115,0.11012405157510831,0.30216488357157334,132.43576500048627,11.508073904893307,132.43576500048627,2,0.14687291082426404,0.08772602238566775,0.3346354166666667,0.08772602238566775,-0.0,0.0,0.009829819635652605,0.09914544687302895,0.6326246627973886,525.108526181353,22.915246587836513,525.108526181353,2,0.10603209453626646
0.09611962123337078,0.3346354166666667,0.09611962123337078,-0.0,0.0,0.020843418933167362,0.14437250061271142,0.552085227113171,416.7346998178572,20.414080920233886,416.7346998178572,2,0.1328602620716811,0.08590489864347786,0.3346354166666667,0.08590489864347786,-0.0,0.0,0.019849457955570013,0.14088810437922009,0.44388854986996895,277.5348717058682,16.659377890721736,277.5348717058682,2,0.11975598054634153
